mu,s0,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
1.84734,0.758621,race_to_bottom,-0.6050,0.8323,0.2272,0.167,2.25122e+08,5.42078e+06,112031,1.03803e+09,8.18437e+08,6.54749e+08,1.63687e+08,4105.69,1.52333e+08,4074.25,11.3417,12437.6,7.27887e+07,2559.68,38.6583,42394,0.9990,0.9810,1.0000,0.9999,0.0493,0.9644,0.0600,0.0667,0.0868,0.0866,0.9600,0.1034
2.3442,0.758621,race_to_bottom,-0.2010,0.6336,0.4327,0.333,3.72625e+08,5.06231e+06,112093,1.00189e+09,6.34435e+08,5.07548e+08,1.26887e+08,6795.8,2.97821e+08,7603.49,21.5958,23682.7,7.48036e+07,3918,28.4042,31149,0.4164,0.9723,0.9999,0.1946,0.2341,0.9842,0.6292,0.0834,0.0610,0.8797,0.8566,0.0861
2.9747,0.758621,race_to_bottom,-0.3504,0.6951,0.3447,0.333,3.34145e+08,5.2248e+06,73078.9,1.01842e+09,6.89576e+08,5.51661e+08,1.37915e+08,6094.02,2.66246e+08,7871.01,17.2458,18912.4,6.78993e+07,3223.65,32.7542,35919.3,0.1161,0.9995,0.9276,0.9917,0.1357,0.9999,0.9097,0.0663,0.1267,0.0619,0.9036,0.0000
3.77478,0.758621,green_club,0.0192,0.5133,0.5325,0.500,4.53533e+08,4.89221e+06,110089,9.85019e+08,5.36489e+08,4.29191e+08,1.07298e+08,8271.37,3.81084e+08,9674.83,26.5958,29165.9,7.24484e+07,4430.3,23.4042,25665.8,0.1684,0.9993,0.9038,0.5884,0.1481,0.2719,0.8656,0.0200,0.1792,0.4405,0.8997,0.7900
4.79005,0.758621,race_to_bottom,-0.8249,0.9392,0.1143,0.000,1.21305e+08,5.53913e+06,111644,1.04964e+09,9.3399e+08,7.47192e+08,1.86798e+08,2212.31,3.18543e+07,4861.18,5.7375,6291.93,8.94504e+07,1849.73,44.2625,48539.7,0.8624,0.9619,0.9867,0.9677,0.9252,0.9312,0.1866,0.1026,0.0906,0.0936,0.1124,0.0997
6.07839,0.758621,race_to_bottom,-0.3089,0.6863,0.3774,0.333,3.16193e+08,5.09935e+06,135919,1.00568e+09,6.94725e+08,5.5578e+08,1.38945e+08,5766.62,2.34159e+08,7678.95,18.8625,20685.2,8.20337e+07,3461.99,31.1375,34146.4,0.7940,0.9816,0.9802,0.3148,0.1678,0.8797,0.2865,0.1365,0.0616,0.7448,0.8675,0.1678
7.71324,0.758621,race_to_bottom,-0.3564,0.7224,0.3660,0.167,2.89444e+08,5.07985e+06,168756,1.00331e+09,7.19114e+08,5.75292e+08,1.43823e+08,5278.78,2.07122e+08,6854.72,18.2708,20036.4,8.23224e+07,3166.02,31.7292,34795.3,0.8634,0.7373,0.9988,0.8682,0.0661,0.8006,0.2236,0.3621,0.1198,0.2316,0.9600,0.2991
9.7878,0.758621,race_to_bottom,-0.4970,0.7931,0.2960,0.167,2.28706e+08,5.16058e+06,164085,1.01161e+09,7.88225e+08,6.3058e+08,1.57645e+08,4171.06,1.35864e+08,5766.98,14.8625,16298.7,9.28416e+07,2695.88,35.1375,38532.9,0.8629,0.9010,0.8377,0.8731,0.2987,0.9851,0.2438,0.2019,0.2477,0.2369,0.7325,0.1135
12.4203,0.758621,green_club,0.0641,0.5025,0.5666,0.500,4.56353e+08,4.69398e+06,139850,9.64102e+08,5.12583e+08,4.10066e+08,1.02517e+08,8322.81,3.74092e+08,10070.2,28.3208,31057.6,8.2261e+07,4745.93,21.6792,23774.1,0.2180,0.9060,0.1973,0.8192,0.3260,0.5487,0.8559,0.1549,0.8622,0.2311,0.7459,0.5498
15.7609,0.758621,transitional,0.0424,0.4819,0.5244,0.333,4.64101e+08,4.5151e+06,103897,9.42166e+08,4.82683e+08,3.86147e+08,9.65367e+07,8464.11,3.58205e+08,11428.6,26.2125,28745.5,1.05897e+08,4664.39,23.7875,26086.2,0.6419,0.7509,0.1570,0.4846,0.1922,0.6648,0.3169,0.2539,0.8474,0.5544,0.7982,0.3754
20,0.758621,transitional,0.5148,0.2312,0.7461,0.500,6.75305e+08,4.10642e+06,60557.7,8.98718e+08,2.2758e+08,1.82064e+08,4.5516e+07,12316,5.81541e+08,14164,37.3375,40945.5,9.37643e+07,7380.74,12.6625,13886.1,0.3397,0.2809,0.2150,0.0948,0.1276,0.3294,0.7097,0.5797,0.7325,0.9099,0.8798,0.6649
0.02,0.793103,green_club,0.9776,0.0124,0.9900,1.000,9.30835e+08,4.39179e+06,4547.43,9.36498e+08,1.00594e+07,8.04751e+06,2.01188e+06,16976.2,9.27358e+08,17081.8,49.5,54283.3,3.47695e+06,6178.51,0.5,548.317,0.0000,0.0003,0.0005,0.0265,0.0473,0.0000,1.0000,1.0000,1.0000,0.9800,0.9600,1.0000
0.0253792,0.793103,green_club,0.6476,0.1791,0.8267,0.833,7.88449e+08,4.62055e+06,11125.3,9.59271e+08,1.75454e+08,1.40363e+08,3.50908e+07,14379.4,7.70828e+08,14334.3,41.3333,45327.5,1.76205e+07,4913.93,8.66667,9504.15,0.0000,0.9994,0.0003,0.0207,0.0543,0.0000,1.0000,0.0200,1.0000,0.9800,0.9600,1.0000
0.0322052,0.793103,green_club,0.6521,0.1812,0.8333,0.833,7.88065e+08,4.61457e+06,24592.7,9.58735e+08,1.7531e+08,1.40248e+08,3.5062e+07,14372.4,7.72157e+08,14311.9,41.6667,45693,1.59072e+07,3581.39,8.33333,9138.61,0.0001,0.0001,0.0205,0.9999,0.0668,0.0000,1.0000,1.0000,1.0000,0.0400,0.9600,1.0000
0.0408672,0.793103,green_club,0.6537,0.1763,0.8300,0.833,7.90456e+08,4.61989e+06,15457.2,9.59209e+08,1.73388e+08,1.3871e+08,3.46776e+07,14416.1,7.72405e+08,14317.1,41.5,45510.3,1.80512e+07,5548.13,8.5,9321.38,0.0001,0.0001,0.9999,0.0127,0.0450,0.0000,1.0000,1.0000,0.0400,0.9800,0.9600,1.0000
0.0518589,0.793103,green_club,0.9765,0.0135,0.9900,1.000,9.31056e+08,4.40103e+06,5759.62,9.3755e+08,1.09015e+07,8.72118e+06,2.18029e+06,16980.3,9.27822e+08,17090.5,49.5,54283.3,3.23368e+06,6006.27,0.5,548.317,0.0000,0.0002,0.0034,0.0217,0.0558,0.0000,1.0000,1.0000,1.0000,0.9800,0.9600,1.0000
0.0658069,0.793103,green_club,0.9782,0.0118,0.9900,1.000,9.32598e+08,4.40435e+06,4152.17,9.37948e+08,9.75868e+06,7.80694e+06,1.95174e+06,17008.4,9.29043e+08,17113,49.5,54283.3,3.55485e+06,6445.4,0.5,548.317,0.0000,0.0003,0.0004,0.0222,0.0480,0.0000,1.0000,1.0000,1.0000,0.9800,0.9600,1.0000
0.0835064,0.793103,green_club,0.9768,0.0132,0.9900,1.000,9.31596e+08,4.40227e+06,5015.8,9.37715e+08,1.05255e+07,8.4204e+06,2.1051e+06,16990.1,9.2831e+08,17099.2,49.5,54283.3,3.28652e+06,6006.32,0.5,548.317,0.0002,0.0003,0.0004,0.0212,0.0572,0.0000,1.0000,1.0000,1.0000,0.9800,0.9600,1.0000
0.105966,0.793103,green_club,0.9771,0.0129,0.9900,1.000,9.31707e+08,4.40239e+06,4831.55,9.37702e+08,1.04028e+07,8.3222e+06,2.08055e+06,16992.1,9.28388e+08,17100.8,49.5,54283.3,3.31885e+06,6089.12,0.5,548.317,0.0000,0.0008,0.0005,0.0230,0.0533,0.0000,1.0000,1.0000,1.0000,0.9800,0.9600,1.0000
0.134467,0.793103,green_club,0.6495,0.1772,0.8267,0.833,7.89729e+08,4.62616e+06,10398.9,9.59903e+08,1.7481e+08,1.39848e+08,3.4962e+07,14402.8,7.71853e+08,14353.3,41.3333,45327.5,1.78768e+07,5035.55,8.66667,9504.15,0.0000,0.9998,0.0005,0.0180,0.0450,0.0000,1.0000,0.0200,1.0000,0.9800,0.9600,1.0000
0.170634,0.793103,green_club,0.6441,0.1825,0.8267,0.833,7.85777e+08,4.61874e+06,15989.9,9.59054e+08,1.77912e+08,1.4233e+08,3.55824e+07,14330.7,7.68406e+08,14290,41.3333,45327.5,1.73712e+07,4436.22,8.66667,9504.15,0.0000,0.9998,0.0135,0.0257,0.0562,0.0000,1.0000,0.0200,1.0000,0.9800,0.9600,1.0000
