delta_c,t_ratio,g,leakage_mean,leakage_std,import_pen_mean,import_pen_std,price_cv_mean,price_cv_std,price_iqr_mean,price_iqr_std,n_active_mean,n_valid,leakage_ok,import_ok,price_cv_ok,all_pass
1.5,2.5,2.5,3.5269710371185874,2.234952461947346,4.514071051045311,2.4213882821156223,13.187570782224395,0.6308738745943152,22.680648406610832,2.3188973111669395,7.651999999999999,5,0,0,1,0
1.5,3.0,0.3,26.24249245663192,10.479045415789678,62.179511291220365,3.898363857686267,15.332574340856123,1.9970502034545756,18.585649726715012,2.487186768174276,7.651999999999999,5,0,0,1,0
1.5,3.0,0.5,23.729615878481727,10.162542856993115,57.37338117695695,4.3181901325828145,14.88266693853283,1.8894192897935245,18.646010346301175,2.4441452891804802,7.651999999999999,5,0,0,1,0
1.5,3.0,0.7,21.431014705378274,9.376809366258124,52.04525797055506,4.386065136509458,14.514784412743737,1.7777722095217818,19.125744990292418,2.6687899935685873,7.651999999999999,5,0,0,1,0
1.5,3.0,1.0,17.32824237420421,8.071049205668992,43.57624854535363,4.375075487169574,14.078719407119275,1.5790646469330225,19.786682793902287,2.273243930186516,7.651999999999999,5,1,0,1,0
1.5,3.0,1.3,13.5755852120503,6.937049015154266,33.898738879955474,4.522408460430702,13.767098730138125,1.372038501432361,20.605784174883393,1.8867741884498708,7.651999999999999,5,1,0,1,0
1.5,3.0,1.5,12.114752263791923,6.451501251722644,27.195013080312826,4.43151790318633,13.630652078449875,1.253553674792373,20.85291018825227,1.6757273033046765,7.651999999999999,5,1,0,1,0
1.5,3.0,2.0,7.657034169437213,4.217963432090984,12.265010399116601,3.7785365833370874,13.631751611871746,1.0158031811235124,21.902367595974773,1.6005953646683102,7.651999999999999,5,1,0,1,0
1.5,3.0,2.2,5.755372204053692,3.485331698383537,8.191459282867706,3.385609514300627,13.77328759853285,0.9173868393773976,22.531107355493628,1.9950967455409225,7.651999999999999,5,1,1,1,1
1.5,3.0,2.3,4.859026922190388,3.033711533594502,6.7422484508719105,2.9985766831431193,13.870596389452668,0.873710640261601,22.988875749776508,2.1499789443510693,7.651999999999999,5,0,0,1,0
1.5,3.0,2.4,4.018321905663325,2.556611347090721,5.537686383188098,2.6846163151799254,13.985268005850585,0.8360629932754734,23.61956842328108,2.2313642818190833,7.651999999999999,5,0,0,1,0
1.5,3.0,2.5,3.2795181678103646,2.0775270532397045,4.514071051045311,2.4213882821156223,14.083641627415139,0.8264580811114605,23.863668769998856,2.4661682852590854,7.651999999999999,5,0,0,1,0
1.5,3.5,0.3,26.107573456097676,10.504173604910441,62.179511291220365,3.898363857686267,15.623877597813074,2.2866914798081344,18.585649726715012,2.487186768174276,7.651999999999999,5,0,0,1,0
1.5,3.5,0.5,23.58895308182992,10.200381393406872,57.37338117695695,4.3181901325828145,15.233529607852457,2.2039961885884822,18.646010346301175,2.4441452891804802,7.651999999999999,5,0,0,1,0
1.5,3.5,0.7,21.29862610574549,9.408872010269695,52.04525797055506,4.386065136509458,14.903608763671453,2.101336014710194,19.125744990292418,2.6687899935685873,7.651999999999999,5,0,0,1,0
1.5,3.5,1.0,17.21923981271427,8.08293024585672,43.57624854535363,4.375075487169574,14.493810678258715,1.9232387971641856,19.786682793902287,2.273243930186516,7.651999999999999,5,1,0,1,0
