mu,tau_BA,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,h_seed4,h_seed5,s_seed0,s_seed1,s_seed2,s_seed3,s_seed4,s_seed5
2.3442,0.103448,race_to_bottom,-0.9758,0.9968,0.0210,0.000,2.06731e+08,5.74606e+06,32829.5,1.18995e+09,9.88995e+08,7.91196e+08,1.97799e+08,3770.28,4.55206e+06,5048.07,1.04583,1146.9,2.02179e+08,3766.48,48.9542,53684.8,1.0000,0.9999,0.9864,0.9995,0.9949,1.0000,0.0252,0.0000,0.0200,0.0606,0.0200,0.0000
2.9747,0.103448,race_to_bottom,-0.9382,0.9859,0.0477,0.000,2.12541e+08,5.70144e+06,54259.2,1.18497e+09,9.78187e+08,7.8255e+08,1.95637e+08,3876.24,1.06139e+07,3432.36,2.38333,2613.64,2.01927e+08,3881.34,47.6167,52218,1.0000,0.9998,0.9316,1.0000,0.9848,0.9995,0.0000,0.0252,0.1580,0.0400,0.0633,0.0000
3.77478,0.103448,race_to_bottom,-0.9662,0.9952,0.0289,0.000,2.07467e+08,5.73177e+06,43948.5,1.18828e+09,9.86592e+08,7.89274e+08,1.97318e+08,3783.71,6.00461e+06,6132.85,1.45,1590.12,2.01462e+08,3785.75,48.55,53241.5,1.0000,1.0000,0.9809,0.9999,0.9902,1.0000,0.0400,0.0000,0.0200,0.0936,0.0200,0.0000
4.79005,0.103448,race_to_bottom,-0.9594,0.9945,0.0351,0.000,2.07222e+08,5.70369e+06,51212.4,1.18529e+09,9.83827e+08,7.87062e+08,1.96765e+08,3779.24,6.17043e+06,4333.57,1.7625,1932.82,2.01052e+08,3803.68,48.2375,52898.8,1.0000,0.9993,0.9800,0.9999,0.9882,0.9998,0.0400,0.0000,0.0509,0.0996,0.0200,0.0000
6.07839,0.103448,race_to_bottom,-0.9629,0.9946,0.0317,0.000,2.06742e+08,5.67582e+06,49276.3,1.18218e+09,9.8116e+08,7.84928e+08,1.96232e+08,3770.48,6.76523e+06,4441.53,1.59583,1750.04,1.99976e+08,3768.14,48.4042,53081.6,0.9983,0.9904,0.9830,0.9999,0.9965,0.9998,0.0640,0.0219,0.0444,0.0400,0.0200,0.0000
7.71324,0.103448,race_to_bottom,-0.9603,0.9970,0.0367,0.000,2.03654e+08,5.61512e+06,61067.3,1.17537e+09,9.7739e+08,7.81912e+08,1.95478e+08,3714.16,5.47326e+06,3848.93,1.83333,2010.49,1.9818e+08,3753.32,48.1667,52821.2,1.0000,1.0000,0.9826,1.0000,0.9999,0.9997,0.0400,0.0483,0.0200,0.0919,0.0200,0.0000
9.7878,0.103448,race_to_bottom,-0.9592,0.9958,0.0366,0.000,2.0332e+08,5.56567e+06,53861,1.16945e+09,9.71749e+08,7.77399e+08,1.9435e+08,3708.08,4.8313e+06,3461.21,1.84167,2019.63,1.98489e+08,3762.69,48.1583,52812,1.0000,1.0000,0.9870,0.9892,0.9991,0.9994,0.0711,0.0000,0.0200,0.1086,0.0200,0.0000
12.4203,0.103448,race_to_bottom,-0.9294,0.9779,0.0484,0.000,2.06932e+08,5.30019e+06,45001.9,1.1323e+09,9.3071e+08,7.44568e+08,1.86142e+08,3773.94,1.32178e+07,4396.01,2.41667,2650.2,1.93714e+08,3720.02,47.5833,52181.5,1.0000,0.9989,0.9589,0.9212,0.9884,0.9998,0.0344,0.0277,0.0505,0.1305,0.0475,0.0000
15.7609,0.103448,race_to_bottom,-0.8410,0.8947,0.0536,0.000,2.71823e+08,4.846e+06,29686.7,1.0762e+09,8.09249e+08,6.47399e+08,1.6185e+08,4957.41,2.55784e+07,8082.52,2.7,2960.91,2.46245e+08,4765.67,47.3,51870.7,0.9533,0.8585,0.9121,0.7921,0.9808,0.8711,0.0000,0.0859,0.0486,0.0888,0.0200,0.0784
20,0.103448,green_club,0.4438,0.2414,0.6852,0.667,7.5803e+08,4.28635e+06,58050.7,1.0239e+09,2.70214e+08,2.16171e+08,5.40427e+07,13824.7,5.85321e+08,15017.9,34.2083,37514,1.7271e+08,10389.8,15.7917,17317.7,0.2732,0.1702,0.0209,0.1596,0.4413,0.3831,0.7253,0.8301,0.9800,0.8383,0.2978,0.4394
0.02,0.137931,race_to_bottom,-0.3222,0.6689,0.3467,0.333,4.82303e+08,5.28796e+06,32500.1,1.13955e+09,6.62568e+08,5.30055e+08,1.32514e+08,8796.07,3.46155e+08,9536.46,17.3333,19008.3,1.36148e+08,5450.27,32.6667,35823.3,1.0000,1.0000,0.0175,0.9995,0.9962,0.0000,0.0400,0.0000,0.9800,0.0400,0.0200,1.0000
0.0253792,0.137931,race_to_bottom,-0.3214,0.6647,0.3433,0.333,4.86164e+08,5.29895e+06,19067.1,1.1408e+09,6.59958e+08,5.27966e+08,1.31992e+08,8866.48,3.48443e+08,11488.8,17.1667,18825.5,1.3772e+08,5984.47,32.8333,36006.1,0.0088,0.9998,0.9846,0.9997,0.9954,0.0000,0.9800,0.0000,0.0200,0.0400,0.0200,1.0000
0.0322052,0.137931,race_to_bottom,-0.6498,0.8331,0.1833,0.167,3.44737e+08,5.51876e+06,32482.1,1.16505e+09,8.25863e+08,6.60691e+08,1.65173e+08,6287.19,1.74558e+08,9107.33,9.16667,10052.5,1.70179e+08,5043.67,40.8333,44779.2,0.0224,1.0000,0.9870,0.9999,0.9900,0.9995,0.9800,0.0000,0.0200,0.0400,0.0600,0.0000
0.0408672,0.137931,race_to_bottom,-0.0189,0.5123,0.4933,0.500,6.15451e+08,5.0856e+06,10871,1.11719e+09,5.06835e+08,4.05468e+08,1.01367e+08,11224.4,5.08072e+08,14713.2,24.6667,27050.3,1.07379e+08,6737.96,25.3333,27781.4,0.0223,0.9998,0.0219,0.0297,1.0000,1.0000,0.9800,0.0000,0.9800,0.9800,0.0200,0.0000
