phi,delta_loc,regime,R,h_mean,s_mean,p_green,all_W_tot,all_cs_tot,all_fisc_tot,all_host_tot,all_dmg_tot,all_dmg_loc_tot,all_dmg_glob_tot,all_W_pc,strict_W_tot,strict_W_pc,strict_n,strict_pop,lax_W_tot,lax_W_pc,lax_n,lax_pop,h_seed0,h_seed1,h_seed2,h_seed3,s_seed0,s_seed1,s_seed2,s_seed3
1034.48,244.828,race_to_bottom,-0.9810,0.9960,0.0150,0.000,5.85367e+08,5.76168e+06,21522.7,8.22005e+08,2.42421e+08,1.93937e+08,4.84843e+07,10675.7,7.57217e+06,9425.23,0.75,822.475,5.77795e+08,10698,49.25,54009.2,1.0000,1.0000,0.9840,1.0000,0.0000,0.0000,0.0200,0.0400
1120.69,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,6.53853e+08,5.76144e+06,21522.7,8.90486e+08,2.42416e+08,1.93933e+08,4.84832e+07,11924.7,8.40336e+06,10420.2,0.75,822.475,6.45449e+08,11950.7,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1206.9,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,7.2235e+08,5.7614e+06,21522.7,9.58982e+08,2.42415e+08,1.93932e+08,4.84831e+07,13174,9.23455e+06,11415.3,0.75,822.475,7.13115e+08,13203.5,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1293.1,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,7.90848e+08,5.7614e+06,21522.7,1.02748e+09,2.42415e+08,1.93932e+08,4.84831e+07,14423.2,1.00657e+07,12410.3,0.75,822.475,7.80783e+08,14456.4,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1379.31,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,8.59419e+08,5.76229e+06,21522.7,1.09607e+09,2.42436e+08,1.93949e+08,4.84871e+07,15673.8,1.08969e+07,13405.3,0.75,822.475,8.48522e+08,15710.6,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1465.52,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,9.27924e+08,5.76229e+06,21522.7,1.16458e+09,2.42436e+08,1.93949e+08,4.84871e+07,16923.1,1.17281e+07,14400.3,0.75,822.475,9.16196e+08,16963.6,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1551.72,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,9.96428e+08,5.76229e+06,21522.7,1.23308e+09,2.42436e+08,1.93949e+08,4.84871e+07,18172.5,1.25593e+07,15395.3,0.75,822.475,9.83869e+08,18216.5,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1637.93,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.06493e+09,5.76229e+06,21522.7,1.30158e+09,2.42436e+08,1.93949e+08,4.84871e+07,19421.9,1.33904e+07,16390.3,0.75,822.475,1.05154e+09,19469.5,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1724.14,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.13344e+09,5.76229e+06,21522.7,1.37009e+09,2.42436e+08,1.93949e+08,4.84871e+07,20671.2,1.42216e+07,17385.3,0.75,822.475,1.11922e+09,20722.5,49.25,54009.2,1.0000,0.9998,0.9840,0.9998,0.0000,0.0000,0.0200,0.0400
1810.34,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.20195e+09,5.76234e+06,21522.7,1.4386e+09,2.42437e+08,1.93949e+08,4.84873e+07,21920.7,1.50528e+07,18380.3,0.75,822.475,1.18689e+09,21975.6,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
1896.55,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.27045e+09,5.76234e+06,21522.7,1.5071e+09,2.42437e+08,1.93949e+08,4.84873e+07,23170,1.5884e+07,19375.3,0.75,822.475,1.25457e+09,23228.6,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
1982.76,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.33896e+09,5.76234e+06,21522.7,1.57561e+09,2.42437e+08,1.93949e+08,4.84873e+07,24419.4,1.67151e+07,20370.3,0.75,822.475,1.32224e+09,24481.5,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
2068.97,244.828,race_to_bottom,-0.9809,0.9959,0.0150,0.000,1.40746e+09,5.76234e+06,21522.7,1.64411e+09,2.42437e+08,1.93949e+08,4.84873e+07,25668.8,1.75463e+07,21365.3,0.75,822.475,1.38991e+09,25734.5,49.25,54009.2,1.0000,0.9998,0.9840,0.9999,0.0000,0.0000,0.0200,0.0400
